prb_id,asn_v4,city
6616,47794,Riyadh Principality
6618,8758,Mittelland
6623,44050,Sankt-Peterburg
6624,58067,Chita
6625,21659,Moncton
6626,31673,Amsterdam
6629,202422,Cook County
6630,42093,Enschede
6631,202422,Tokyo
6632,1103,Den Haag
6634,5006,Hennepin County
6641,202422,Seoul
6642,202422,Luxembourg
6643,202422,Miami-Dade County
6644,199524,Hudson County
6647,199610,England
6648,209523,Val-de-Marne
6649,199610,Los Angeles County
6655,60781,Haarlem
6658,20904,Oulu
6659,202422,Barueri
6661,202422,Amsterdam
6662,202422,Bakırköy
6663,202422,Città Metropolitana di Milano
6664,202422,Petach Tikva
6666,202422,Département de Paris
6668,202422,Madrid
6669,202422,Warszawa
6670,202422,Greater London
6680,39790,Hlavní město Praha
6686,21013,Wels
6687,39069,Murcia
6689,210036,Zürich
6692,5006,Dallas County
6695,786,Berkshire
6696,16276,Nord
6715,16276,Gießen
6716,25376,England
6717,39180,Rhône
6719,16276,Montérégie
6722,51349,Harju maakond
6723,45204,Khan-Uul District
6725,21700,New York County
6727,16276,City of Sydney
6728,34019,Val-de-Marne
6731,8308,Warszawa
6733,8985,Moskva
6734,24940,Helsinki
6736,209097,Rhône
6740,1850,Reykjavíkurborg
6751,62310,Berlin
6761,553,Freiburg
6762,41327,Città metropolitana di Palermo
6764,138466,City of Sydney
